customer_id,age,tenure_months,monthly_charges,total_charges,num_products,has_phone,has_internet,churn,avg_monthly_charge,estimated_lifetime_value,products_per_tenure_month
1,56,107,58.74542078509889,6068.673760519429,4,0,1,1,56.191423708513234,6285.760024005581,0.037037037037037035
2,69,25,24.55844337243343,2967.9906039278417,1,0,0,0,114.15348476645545,613.9610843108358,0.038461538461538464
3,46,60,24.843004479845494,4386.1764998344825,4,1,0,0,71.90453278417185,1490.5802687907296,0.06557377049180328
4,32,36,23.42515318520929,4935.847874274359,1,0,0,0,133.401293899307,843.3055146675345,0.02702702702702703
5,60,22,116.086206727751,738.6748463065348,1,0,0,0,32.11629766550151,2553.896548010522,0.043478260869565216
6,25,92,61.34126162585876,4911.219667184618,2,1,1,0,52.80881362564105,5643.3960695790065,0.021505376344086023
8,38,111,76.1252670995704,7154.188226337273,4,0,0,0,63.87668059229708,8449.904648052314,0.03571428571428571
9,56,108,78.8897531078953,6492.092521002212,2,1,0,0,59.560481844056994,8520.093335652693,0.01834862385321101
10,75,108,86.67473832624458,1933.6356096905545,1,1,0,0,17.73977623569316,9360.871739234415,0.009174311926605505
11,36,112,112.69408932876352,2140.77529028293,1,1,0,0,18.944914073300268,12621.738004821515,0.008849557522123894
12,40,90,55.55537255786192,2584.961169866295,3,0,0,0,28.40616670182742,4999.983530207573,0.03296703296703297
13,28,102,35.8063554393585,1871.609358942056,2,1,0,1,18.170964649922873,3652.2482548145667,0.019417475728155338
14,28,39,92.28745357489,6606.410676717825,3,1,0,0,165.16026691794562,3599.21068942071,0.075
15,41,76,62.50709102155611,9944.85877408268,1,0,0,0,129.15401005302184,4750.538917638264,0.012987012987012988
16,70,22,77.52387077684486,6555.872571107772,3,0,0,0,285.037937874251,1705.5251570905868,0.13043478260869565
17,53,15,104.1030720838497,6106.147307293783,4,1,0,1,381.63420670586146,1561.5460812577455,0.25
18,57,93,84.23634634836517,4158.286540175617,4,1,1,0,44.2370908529321,7833.980210397961,0.0425531914893617
19,41,60,100.63624622310957,3194.544562711631,1,0,0,0,52.36958299527264,6038.174773386574,0.01639344262295082
20,20,67,90.74600027477162,9119.630193374143,3,0,1,0,134.11220872609033,6079.982018409698,0.04411764705882353
21,39,103,116.1735283516929,9693.118554007317,3,0,0,0,93.20306301930113,11965.873420224369,0.028846153846153848
22,70,79,111.7717603025106,5018.084138318505,2,1,0,0,62.72605172898132,8829.969063898337,0.025
23,19,30,89.44468593512049,2972.984905514919,4,0,1,1,95.90273888757802,2683.3405780536145,0.12903225806451613
24,41,52,108.2573927117619,7724.2098559307005,4,1,1,1,145.73980860246604,5629.3844210116185,0.07547169811320754
25,61,105,133.56274829543966,1411.3222295820967,2,1,1,0,13.314360656434875,14024.088571021164,0.018867924528301886
26,47,24,76.19526741246192,7679.323552672447,4,1,1,0,307.17294210689784,1828.6864178990859,0.16
27,55,43,73.65919945734318,8207.588905682253,3,0,1,0,186.53611149277847,3167.3455766657567,0.06818181818181818
28,19,11,119.3519307108094,1336.5490518089568,3,0,1,0,111.3790876507464,1312.8712378189034,0.25
30,38,100,29.23088142893652,9856.571674845936,2,1,0,0,97.58981856283106,2923.088142893652,0.019801980198019802
31,50,111,135.97456203984058,9373.522845340776,1,0,1,0,83.69216826197122,15093.176386422305,0.008928571428571428
